doc_id,true_topic,text,keywords
1,정치,"정당 분야에서 새로운 변화가 관측됐다. 대통령와 여당를 둘러싼 해석이 이어지는 가운데, 안보의 향방에도 관심이 쏠리고 있다.","정당,대통령,여당,안보"
2,정치+경제,"부동산 분야에서 새로운 변화가 관측됐다. 금리와 외교를 둘러싼 해석이 이어지는 가운데, 협상 및 무역의 향방에도 관심이 쏠리고 있다.","부동산,금리,외교,협상,무역,정부,안보,소비"
3,경제,최근 성장와 관련한 움직임이 뚜렷해지고 있다. 투자를 계기로 물가 논의가 확대되는 모습이다. 이에 따라 금리를 둘러싼 전망도 엇갈리고 있다.,"성장,투자,물가,금리"
4,스포츠,최근 경기와 관련한 움직임이 뚜렷해지고 있다. 훈련를 계기로 기록 논의가 확대되는 모습이다. 이에 따라 리그를 둘러싼 전망도 엇갈리고 있다.,"경기,훈련,기록,리그"
5,스포츠,최근 득점와 관련한 움직임이 뚜렷해지고 있다. 팬를 계기로 팀 논의가 확대되는 모습이다. 이에 따라 경기력를 둘러싼 전망도 엇갈리고 있다.,"득점,팬,팀,경기력"
6,경제,경제를 둘러싼 관심이 커지고 있다. 현장에서는 투자와 산업 문제를 함께 살펴보고 있다. 특히 주식 흐름이 중요한 변수로 거론된다.,"경제,투자,산업,주식"
7,경제,주식를 둘러싼 관심이 커지고 있다. 현장에서는 일자리와 소비 문제를 함께 살펴보고 있다. 특히 부동산 흐름이 중요한 변수로 거론된다.,"주식,일자리,소비,부동산"
8,과학기술+보건,검진를 둘러싼 관심이 커지고 있다. 현장에서는 백신와 인터넷 문제를 함께 살펴보고 있다. 특히 병원뿐 아니라 우주 흐름도 중요한 변수로 거론된다.,"검진,백신,인터넷,병원,우주,혁신,연구,반도체"
9,스포츠,대표팀를 둘러싼 관심이 커지고 있다. 현장에서는 팀와 득점 문제를 함께 살펴보고 있다. 특히 시즌 흐름이 중요한 변수로 거론된다.,"대표팀,팀,득점,시즌"
10,경제+보건,"경제 분야에서 새로운 변화가 관측됐다. 건강와 산업를 둘러싼 해석이 이어지는 가운데, 금융 및 백신의 향방에도 관심이 쏠리고 있다.","경제,건강,산업,금융,백신,질병,소비,치료"
11,과학기술,개발과 소프트웨어 관련 논의가 이어지고 있다. 우주 중심으로 플랫폼 변화가 나타나고 있다.,"개발,소프트웨어,우주,플랫폼"
12,스포츠,득점를 둘러싼 관심이 커지고 있다. 현장에서는 시즌와 리그 문제를 함께 살펴보고 있다. 특히 기록 흐름이 중요한 변수로 거론된다.,"득점,시즌,리그,기록"
13,보건,증상를 둘러싼 관심이 커지고 있다. 현장에서는 연구와 치료 문제를 함께 살펴보고 있다. 특히 간호 흐름이 중요한 변수로 거론된다.,"증상,연구,치료,간호"
14,경제+정치,수출과 예산 관련 논의가 이어지고 있다. 시장 중심으로 여당 변화가 나타나고 있다. 전문가들은 정책와 금융 영향에 주목하고 있다.,"수출,예산,시장,여당,정책,금융,성장,정당"
15,스포츠,최근 감독와 관련한 움직임이 뚜렷해지고 있다. 기록를 계기로 경기력 논의가 확대되는 모습이다. 이에 따라 시즌를 둘러싼 전망도 엇갈리고 있다.,"감독,기록,경기력,시즌"
16,스포츠,"우승 분야에서 새로운 변화가 관측됐다. 기록와 팀를 둘러싼 해석이 이어지는 가운데, 대회의 향방에도 관심이 쏠리고 있다.","우승,기록,팀,대회"
17,과학기술,반도체를 둘러싼 관심이 커지고 있다. 현장에서는 디지털와 데이터 문제를 함께 살펴보고 있다. 특히 알고리즘 흐름이 중요한 변수로 거론된다.,"반도체,디지털,데이터,알고리즘"
18,정치+경제,"정부 분야에서 새로운 변화가 관측됐다. 무역와 대통령를 둘러싼 해석이 이어지는 가운데, 정책 및 금리의 향방에도 관심이 쏠리고 있다.","정부,무역,대통령,정책,금리,투자,여당,주식"
19,정치+과학기술,혁신를 둘러싼 관심이 커지고 있다. 현장에서는 디지털와 인터넷 문제를 함께 살펴보고 있다. 특히 AI뿐 아니라 여당 흐름도 중요한 변수로 거론된다.,"혁신,디지털,인터넷,AI,여당,외교,의회,개혁"
20,경제,주식과 수출 관련 논의가 이어지고 있다. 산업 중심으로 기업 변화가 나타나고 있다.,"주식,수출,산업,기업"
21,스포츠+정치,"행정 분야에서 새로운 변화가 관측됐다. 팀와 외교를 둘러싼 해석이 이어지는 가운데, 정당 및 감독의 향방에도 관심이 쏠리고 있다.","행정,팀,외교,정당,감독,기록,선수,여당"
22,스포츠+과학기술,기록를 둘러싼 관심이 커지고 있다. 현장에서는 팀와 인터넷 문제를 함께 살펴보고 있다. 특히 AI뿐 아니라 우주 흐름도 중요한 변수로 거론된다.,"기록,팀,인터넷,AI,우주,리그,개발,감독"
23,스포츠+정치,"법안 분야에서 새로운 변화가 관측됐다. 팬와 선수를 둘러싼 해석이 이어지는 가운데, 정당 및 감독의 향방에도 관심이 쏠리고 있다.","법안,팬,선수,정당,감독,대통령,경기력,행정"
24,스포츠,"팀 분야에서 새로운 변화가 관측됐다. 득점와 대회를 둘러싼 해석이 이어지는 가운데, 리그의 향방에도 관심이 쏠리고 있다.","팀,득점,대회,리그"
25,보건+과학기술,병원과 개발 관련 논의가 이어지고 있다. 백신 중심으로 환자 변화가 나타나고 있다. 전문가들은 알고리즘와 데이터 영향에 주목하고 있다.,"병원,개발,백신,환자,알고리즘,데이터,플랫폼,연구"
26,보건,최근 치료와 관련한 움직임이 뚜렷해지고 있다. 예방를 계기로 간호 논의가 확대되는 모습이다. 이에 따라 의료를 둘러싼 전망도 엇갈리고 있다.,"치료,예방,간호,의료"
27,정치,선거를 둘러싼 관심이 커지고 있다. 현장에서는 국회와 행정 문제를 함께 살펴보고 있다. 특히 야당 흐름이 중요한 변수로 거론된다.,"선거,국회,행정,야당"
28,경제,주식과 부동산 관련 논의가 이어지고 있다. 일자리 중심으로 무역 변화가 나타나고 있다.,"주식,부동산,일자리,무역"
29,보건,"치료 분야에서 새로운 변화가 관측됐다. 증상와 병원를 둘러싼 해석이 이어지는 가운데, 백신의 향방에도 관심이 쏠리고 있다.","치료,증상,병원,백신"
30,정치,"의회 분야에서 새로운 변화가 관측됐다. 야당와 여당를 둘러싼 해석이 이어지는 가운데, 대통령의 향방에도 관심이 쏠리고 있다.","의회,야당,여당,대통령"
31,보건+스포츠,시즌를 둘러싼 관심이 커지고 있다. 현장에서는 경기력와 증상 문제를 함께 살펴보고 있다. 특히 기록뿐 아니라 백신 흐름도 중요한 변수로 거론된다.,"시즌,경기력,증상,기록,백신,팀,병원,연구"
32,정치,최근 의회와 관련한 움직임이 뚜렷해지고 있다. 정책를 계기로 야당 논의가 확대되는 모습이다. 이에 따라 예산를 둘러싼 전망도 엇갈리고 있다.,"의회,정책,야당,예산"
33,정치+과학기술,플랫폼과 외교 관련 논의가 이어지고 있다. 반도체 중심으로 연구 변화가 나타나고 있다. 전문가들은 기술와 국회 영향에 주목하고 있다.,"플랫폼,외교,반도체,연구,기술,국회,행정,정당"
34,보건,최근 검진와 관련한 움직임이 뚜렷해지고 있다. 건강를 계기로 백신 논의가 확대되는 모습이다. 이에 따라 간호를 둘러싼 전망도 엇갈리고 있다.,"검진,건강,백신,간호"
35,보건+정치,협상과 개혁 관련 논의가 이어지고 있다. 환자 중심으로 건강 변화가 나타나고 있다. 전문가들은 안보와 법안 영향에 주목하고 있다.,"협상,개혁,환자,건강,안보,법안,백신,감염"
